edad,salario,compro
24,48354,1
36,28584,1
25,44179,1
35,45664,1
49,37197,1
39,25242,1
31,59039,0
20,37616,0
54,20370,0
45,26419,0
59,25421,0
29,21335,1
32,37401,1
57,48361,1
39,55974,0
47,29760,0
47,48916,0
18,55451,1
23,44862,0
42,32504,0
30,53352,0
19,31183,0
55,39073,1
18,58734,1
37,44403,1
40,54638,1
47,42285,0
34,49347,0
45,34422,0
33,47151,0
52,35802,1
41,30976,1
39,31510,1
45,31282,0
39,44244,1
49,24127,1
44,31829,1
24,56621,0
35,45169,1
23,35819,0
54,48627,1
22,27875,0
26,43085,0
54,38236,0
54,40052,0
35,39504,0
42,30399,1
36,24000,1
30,26151,0
37,40021,0
40,49101,0
39,51694,1
43,20038,1
26,47669,0
48,23890,1
59,51787,1
27,45533,0
28,57768,0
32,35773,0
39,59347,1
28,46173,0
57,23631,1
54,51755,0
31,47781,0
29,42517,0
43,38801,0
28,38041,1
35,53747,1
40,50882,0
58,35762,1
43,36808,0
18,37457,0
19,45026,0
31,52638,0
24,38961,0
54,51943,1
32,33560,1
54,20124,0
40,57952,0
22,59515,1
36,43671,0
21,21498,0
37,42400,1
28,26411,0
39,49397,1
33,38882,0
37,26882,0
22,20497,0
26,44600,0
59,59238,1
37,43937,0
38,32020,0
35,38102,0
36,48618,0
20,26596,1
24,23199,1
26,51140,1
23,25020,0
35,42014,1
51,41985,0
