Producto,Precio,Cantidad,Categoría,Fecha,Descuento
Producto_1,112,23,D,2025-01-01,0.00674079249603522
Producto_2,189,10,D,2025-01-02,0.08060320781548382
Producto_3,102,5,C,2025-01-03,0.16249026439826006
Producto_4,24,36,B,2025-01-04,0.1900434659478442
Producto_5,116,34,B,2025-01-05,0.07736630562996068
Producto_6,81,31,D,2025-01-06,0.041806822221847235
Producto_7,198,10,D,2025-01-07,0.2504790710397897
Producto_8,30,19,C,2025-01-08,0.2953206542110656
Producto_9,112,32,D,2025-01-09,0.15770705469080573
Producto_10,131,1,C,2025-01-10,0.05150378575449105
Producto_11,84,5,B,2025-01-11,0.08169219795581069
Producto_12,97,45,B,2025-01-12,0.00551720296424002
Producto_13,126,4,A,2025-01-13,0.2742896419681497
Producto_14,109,16,B,2025-01-14,0.03532532486704234
Producto_15,113,24,D,2025-01-15,0.17295494265427605
Producto_16,161,16,B,2025-01-16,0.0822165662061618
Producto_17,140,2,C,2025-01-17,0.16625340075473802
Producto_18,159,49,B,2025-01-18,0.19542611650555927
Producto_19,62,28,A,2025-01-19,0.24892254111216047
Producto_20,11,32,B,2025-01-20,0.06192638152818096
Producto_21,97,27,C,2025-01-21,0.0032987485975441433
Producto_22,167,20,C,2025-01-22,0.04106568902064218
Producto_23,47,24,D,2025-01-23,0.2700055925544315
Producto_24,139,12,B,2025-01-24,0.2621670232687546
Producto_25,197,35,C,2025-01-25,0.1792239306510925
Producto_26,30,33,A,2025-01-26,0.180155058130096
Producto_27,170,33,D,2025-01-27,0.19951100236387664
Producto_28,67,43,A,2025-01-28,0.05261138358703488
Producto_29,31,37,B,2025-01-29,0.27432358377748794
Producto_30,98,12,B,2025-01-30,0.12563115746762193
Producto_31,58,3,B,2025-01-31,0.11494155847484923
Producto_32,68,1,D,2025-02-01,0.15567531158485126
Producto_33,179,33,C,2025-02-02,0.014089790032516513
Producto_34,197,40,D,2025-02-03,0.04988501062682382
Producto_35,24,10,A,2025-02-04,0.22141008492791112
Producto_36,199,43,D,2025-02-05,0.02483960037753794
Producto_37,199,44,A,2025-02-06,0.18094563283991646
Producto_38,184,29,D,2025-02-07,0.07360473290439629
Producto_39,199,13,C,2025-02-08,0.11678868421259296
Producto_40,60,12,A,2025-02-09,0.08660812103120996
Producto_41,117,31,B,2025-02-10,0.10670181493948473
Producto_42,64,46,B,2025-02-11,0.21571377155527363
Producto_43,73,2,D,2025-02-12,0.08913651468695251
Producto_44,140,35,B,2025-02-13,0.16992139208906915
Producto_45,60,23,A,2025-02-14,0.1428151206597299
Producto_46,144,17,B,2025-02-15,0.19910134960879444
Producto_47,30,26,C,2025-02-16,0.2810489217974274
Producto_48,82,8,C,2025-02-17,0.21977162916307508
Producto_49,176,29,D,2025-02-18,0.06448211357722702
Producto_50,27,26,A,2025-02-19,0.009354940518385401
Producto_51,141,10,C,2025-02-20,0.07867921328994752
Producto_52,98,26,C,2025-02-21,0.17852337921007644
Producto_53,69,34,A,2025-02-22,0.015427744045275103
Producto_54,23,41,B,2025-02-23,0.1489098741603709
Producto_55,18,7,B,2025-02-24,0.17905285467506676
Producto_56,99,4,D,2025-02-25,0.10027316724508824
Producto_57,62,45,B,2025-02-26,0.23127366112374656
Producto_58,139,11,A,2025-02-27,0.03197947594013154
Producto_59,93,29,C,2025-02-28,0.02254133452074263
Producto_60,101,36,B,2025-03-01,0.218456626861081
