order_id,item_id,product_id,product_name,unit_price,qty
100000,1,P-101,Ratón gaming,39.9,2
100000,2,P-101,Ratón gaming,39.9,1
100000,3,P-101,Ratón gaming,39.9,1
100000,4,P-103,Auriculares,79.0,2
100000,5,P-103,Auriculares,79.0,3
100000,6,P-106,Silla ergonómica,149.0,2
100000,7,P-100,Teclado mecánico,59.9,3
100000,8,P-102,"Monitor 27""",199.0,1
100000,9,P-102,"Monitor 27""",199.0,1
100000,10,P-103,Auriculares,79.0,2
100000,11,P-101,Ratón gaming,39.9,1
100000,12,P-106,Silla ergonómica,149.0,3
100001,1,P-107,Alfombrilla XL,19.9,1
100001,2,P-106,Silla ergonómica,149.0,1
100001,3,P-101,Ratón gaming,39.9,1
100001,4,P-105,SSD 1TB,89.0,1
100001,5,P-103,Auriculares,79.0,1
100001,6,P-103,Auriculares,79.0,1
100001,7,P-104,Webcam HD,49.9,3
100001,8,P-101,Ratón gaming,39.9,1
100001,9,P-106,Silla ergonómica,149.0,1
100001,10,P-105,SSD 1TB,89.0,3
100001,11,P-102,"Monitor 27""",199.0,1
100001,12,P-104,Webcam HD,49.9,2
100002,1,P-107,Alfombrilla XL,19.9,3
100002,2,P-106,Silla ergonómica,149.0,1
100002,3,P-103,Auriculares,79.0,4
100003,1,P-105,SSD 1TB,89.0,1
100004,1,P-105,SSD 1TB,89.0,1
100004,2,P-103,Auriculares,79.0,1
100004,3,P-107,Alfombrilla XL,19.9,1
100004,4,P-102,"Monitor 27""",199.0,1
100004,5,P-104,Webcam HD,49.9,2
100004,6,P-106,Silla ergonómica,149.0,2
100004,7,P-103,Auriculares,79.0,1
100004,8,P-102,"Monitor 27""",199.0,1
100004,9,P-100,Teclado mecánico,59.9,1
100004,10,P-101,Ratón gaming,39.9,2
100004,11,P-106,Silla ergonómica,149.0,2
100004,12,P-101,Ratón gaming,39.9,1
100005,1,P-100,Teclado mecánico,59.9,1
100005,2,P-104,Webcam HD,49.9,1
100005,3,P-105,SSD 1TB,89.0,2
100005,4,P-107,Alfombrilla XL,19.9,2
100005,5,P-100,Teclado mecánico,59.9,3
100005,6,P-104,Webcam HD,49.9,1
100005,7,P-102,"Monitor 27""",199.0,1
100005,8,P-104,Webcam HD,49.9,1
100005,9,P-103,Auriculares,79.0,2
100006,1,P-105,SSD 1TB,89.0,1
100006,2,P-105,SSD 1TB,89.0,2
100006,3,P-104,Webcam HD,49.9,2
100006,4,P-101,Ratón gaming,39.9,2
100006,5,P-101,Ratón gaming,39.9,1
100006,6,P-102,"Monitor 27""",199.0,1
100006,7,P-102,"Monitor 27""",199.0,1
100006,8,P-102,"Monitor 27""",199.0,1
100006,9,P-104,Webcam HD,49.9,1
100006,10,P-103,Auriculares,79.0,1
100007,1,P-105,SSD 1TB,89.0,1
100007,2,P-107,Alfombrilla XL,19.9,2
100007,3,P-103,Auriculares,79.0,1
100007,4,P-103,Auriculares,79.0,2
100007,5,P-103,Auriculares,79.0,2
100007,6,P-103,Auriculares,79.0,3
100007,7,P-100,Teclado mecánico,59.9,2
100008,1,P-104,Webcam HD,49.9,1
100008,2,P-107,Alfombrilla XL,19.9,2
100008,3,P-107,Alfombrilla XL,19.9,2
100008,4,P-103,Auriculares,79.0,2
100009,1,P-105,SSD 1TB,89.0,1
100009,2,P-100,Teclado mecánico,59.9,2
100009,3,P-101,Ratón gaming,39.9,3
100009,4,P-101,Ratón gaming,39.9,2
100009,5,P-103,Auriculares,79.0,2
100009,6,P-102,"Monitor 27""",199.0,3
100009,7,P-106,Silla ergonómica,149.0,2
100010,1,P-101,Ratón gaming,39.9,5
100010,2,P-100,Teclado mecánico,59.9,3
