order_id,order_date,country,state,customer_age
100000,2025-06-13,ES,NEW,33
100001,2025-06-04,DE,DELIVERED,46
100002,2025-06-29,ES,SHIPPED,42
100003,2025-06-25,DE,DELIVERED,36
100004,2025-04-13,DE,NEW,46
100005,2025-04-30,PT,PAID,43
100006,2025-05-19,PT,CANCELLED,48
100007,2025-08-26,PT,DELIVERED,29
100008,2025-02-28,ES,CANCELLED,37
100009,2025-02-18,ES,NEW,17
100010,2025-08-12,ES,SHIPPED,45
100011,2025-03-15,IT,DELIVERED,27
100012,2025-08-28,DE,PAID,33
100013,2025-08-27,DE,RETURNED,41
100014,2025-06-20,PT,PAID,22
100015,2025-03-11,DE,SHIPPED,33
100016,2025-05-20,ES,DELIVERED,30
100017,2025-08-19,DE,PAID,35
100018,2025-08-12,ES,RETURNED,38
100019,2025-09-06,DE,PAID,33
100020,2025-01-01,PT,CANCELLED,50
100021,2025-05-21,ES,PAID,29
100022,2025-07-23,FR,DELIVERED,31
100023,2025-06-17,ES,RETURNED,35
100024,2025-01-13,PT,PAID,41
100025,2025-01-20,DE,PAID,29
100026,2025-04-17,ES,PAID,16
100027,2025-06-09,PT,NEW,16
100028,2025-03-06,ES,SHIPPED,16
100029,2025-08-26,DE,SHIPPED,43
100030,2025-09-05,DE,SHIPPED,41
100031,2025-03-08,DE,PAID,35
100032,2025-04-19,PT,PAID,32
100033,2025-01-26,FR,PAID,29
100034,2025-08-31,DE,NEW,49
100035,2025-03-20,PT,SHIPPED,22
100036,2025-06-26,PT,SHIPPED,43
100037,2025-08-09,IT,NEW,42
100038,2025-08-21,DE,DELIVERED,40
100039,2025-06-03,ES,RETURNED,33
100040,2025-02-28,PT,SHIPPED,51
100041,2025-09-06,ES,SHIPPED,27
100042,2025-06-19,IT,DELIVERED,41
100043,2025-04-23,IT,NEW,28
100044,2025-08-24,PT,SHIPPED,31
100045,2025-07-30,ES,PAID,30
100046,2025-06-28,FR,SHIPPED,26
100047,2025-05-07,ES,NEW,43
100048,2025-07-04,FR,SHIPPED,33
100049,2025-01-26,ES,SHIPPED,24
100050,2025-08-19,DE,DELIVERED,40
100051,2025-03-17,DE,NEW,41
100052,2025-07-11,IT,PAID,39
100053,2025-09-05,DE,DELIVERED,22
100054,2025-04-27,DE,DELIVERED,28
100055,2025-04-05,PT,SHIPPED,34
100056,2025-05-20,DE,NEW,30
100057,2025-07-18,FR,DELIVERED,28
100058,2025-04-25,DE,SHIPPED,44
100059,2025-03-17,IT,SHIPPED,44
100060,2025-09-02,FR,DELIVERED,42
100061,2025-08-11,ES,CANCELLED,27
100062,2025-02-06,PT,DELIVERED,40
100063,2025-07-11,PT,PAID,27
100064,2025-05-05,PT,SHIPPED,49
100065,2025-06-03,ES,NEW,37
100066,2025-02-28,PT,SHIPPED,43
100067,2025-04-22,PT,SHIPPED,36
100068,2025-03-27,FR,NEW,26
100069,2025-02-14,PT,PAID,39
100070,2025-04-05,DE,NEW,35
100071,2025-04-26,PT,DELIVERED,30
100072,2025-07-02,ES,SHIPPED,38
100073,2025-09-04,PT,RETURNED,54
100074,2025-05-24,IT,SHIPPED,32
100075,2025-07-17,PT,DELIVERED,51
100076,2025-07-20,IT,PAID,24
100077,2025-04-29,DE,DELIVERED,24
100078,2025-08-12,DE,SHIPPED,50
100079,2025-08-20,PT,NEW,27
100080,2025-08-03,DE,DELIVERED,39
